X,Y,Z,STA,source
-70.1889351700,43.6479497100,-47.4774804484,-1684.00,Maine ADCIRC model
-70.1889361900,43.6479523500,-47.4570471924,-1683.00,Maine ADCIRC model
-70.1889372100,43.6479549900,-47.4366139364,-1682.00,Maine ADCIRC model
-70.1889382300,43.6479576300,-47.4161806804,-1681.00,Maine ADCIRC model
-70.1889392500,43.6479602800,-47.3956772804,-1680.00,Maine ADCIRC model
-70.1889402700,43.6479629200,-47.3752440244,-1679.00,Maine ADCIRC model
-70.1889412900,43.6479655600,-47.3548107684,-1678.00,Maine ADCIRC model
-70.1889423100,43.6479682000,-47.3343692937,-1677.00,Maine ADCIRC model
-70.1889433300,43.6479708500,-47.3134878672,-1676.00,Maine ADCIRC model
-70.1889443500,43.6479734900,-47.2926770977,-1675.00,Maine ADCIRC model
-70.1889453700,43.6479761300,-47.2718663281,-1674.00,Maine ADCIRC model
-70.1889463900,43.6479787700,-47.2510555586,-1673.00,Maine ADCIRC model
-70.1889474100,43.6479814100,-47.2302447891,-1672.00,Maine ADCIRC model
-70.1889484300,43.6479840600,-47.2093633626,-1671.00,Maine ADCIRC model
-70.1889494500,43.6479867000,-47.1885525931,-1670.00,Maine ADCIRC model
-70.1889504700,43.6479893400,-47.1677418235,-1669.00,Maine ADCIRC model
-70.1889514900,43.6479919800,-47.1469310540,-1668.00,Maine ADCIRC model
-70.1889525100,43.6479946300,-47.1260496276,-1667.00,Maine ADCIRC model
-70.1889535300,43.6479972700,-47.1052388580,-1666.00,Maine ADCIRC model
-70.1889545500,43.6479999100,-47.0844280884,-1665.00,Maine ADCIRC model
-70.1889555700,43.6480025500,-47.0636173189,-1664.00,Maine ADCIRC model
-70.1889565900,43.6480052000,-47.0427358925,-1663.00,Maine ADCIRC model
-70.1889576100,43.6480078400,-47.0219251229,-1662.00,Maine ADCIRC model
-70.1889586300,43.6480104800,-47.0011143534,-1661.00,Maine ADCIRC model
-70.1889596500,43.6480131200,-46.9803035838,-1660.00,Maine ADCIRC model
-70.1889606700,43.6480157700,-46.9594221574,-1659.00,Maine ADCIRC model
-70.1889616900,43.6480184100,-46.9386113879,-1658.00,Maine ADCIRC model
-70.1889627000,43.6480210500,-46.9178217688,-1657.00,Maine ADCIRC model
-70.1889637200,43.6480236900,-46.8970109992,-1656.00,Maine ADCIRC model
-70.1889647400,43.6480263300,-46.8762002297,-1655.00,Maine ADCIRC model
-70.1889657600,43.6480289800,-46.8553188032,-1654.00,Maine ADCIRC model
-70.1889667800,43.6480316200,-46.8345080337,-1653.00,Maine ADCIRC model
-70.1889678000,43.6480342600,-46.8136972641,-1652.00,Maine ADCIRC model
-70.1889688200,43.6480369000,-46.7928864946,-1651.00,Maine ADCIRC model
-70.1889698400,43.6480395500,-46.7720050682,-1650.00,Maine ADCIRC model
-70.1889708600,43.6480421900,-46.7511942987,-1649.00,Maine ADCIRC model
-70.1889718800,43.6480448300,-46.7303835291,-1648.00,Maine ADCIRC model
-70.1889729000,43.6480474700,-46.7095727596,-1647.00,Maine ADCIRC model
-70.1889739200,43.6480501200,-46.6886913331,-1646.00,Maine ADCIRC model
-70.1889749400,43.6480527600,-46.6678805636,-1645.00,Maine ADCIRC model
-70.1889759600,43.6480554000,-46.6470697941,-1644.00,Maine ADCIRC model
-70.1889769800,43.6480580400,-46.6262590245,-1643.00,Maine ADCIRC model
-70.1889780000,43.6480606900,-46.6053775980,-1642.00,Maine ADCIRC model
