X,Y,Z,STA,source
-70.1006870800,43.6977999400,-8.4656602836,-381.00,Maine ADCIRC model
-70.1006908500,43.6978001900,-8.4806602233,-380.00,Maine ADCIRC model
-70.1006946200,43.6978004400,-8.4896062013,-379.00,Maine ADCIRC model
-70.1006983800,43.6978006900,-8.4977245646,-378.00,Maine ADCIRC model
-70.1007021500,43.6978009400,-8.5058680399,-377.00,Maine ADCIRC model
-70.1007059200,43.6978011900,-8.5140115151,-376.00,Maine ADCIRC model
-70.1007096800,43.6978014400,-8.5221298784,-375.00,Maine ADCIRC model
-70.1007134500,43.6978016900,-8.5302733537,-374.00,Maine ADCIRC model
-70.1007172100,43.6978019400,-8.5383917170,-373.00,Maine ADCIRC model
-70.1007209800,43.6978021900,-8.5465351923,-372.00,Maine ADCIRC model
-70.1007247500,43.6978024400,-8.5546786674,-371.00,Maine ADCIRC model
-70.1007285100,43.6978026900,-8.5627970308,-370.00,Maine ADCIRC model
-70.1007322800,43.6978029400,-8.5709405060,-369.00,Maine ADCIRC model
-70.1007360500,43.6978032000,-8.5790310336,-368.00,Maine ADCIRC model
-70.1007398100,43.6978034500,-8.5871493970,-367.00,Maine ADCIRC model
-70.1007435800,43.6978037000,-8.5952928722,-366.00,Maine ADCIRC model
-70.1007473500,43.6978039500,-8.6034363475,-365.00,Maine ADCIRC model
-70.1007511100,43.6978042000,-8.6115547108,-364.00,Maine ADCIRC model
-70.1007548800,43.6978044500,-8.6196981860,-363.00,Maine ADCIRC model
-70.1007586500,43.6978047000,-8.6278416613,-362.00,Maine ADCIRC model
-70.1007624100,43.6978049500,-8.6359600246,-361.00,Maine ADCIRC model
-70.1007661800,43.6978052000,-8.6441034998,-360.00,Maine ADCIRC model
-70.1007699400,43.6978054500,-8.6522218632,-359.00,Maine ADCIRC model
-70.1007737100,43.6978057000,-8.6603653384,-358.00,Maine ADCIRC model
-70.1007774800,43.6978059500,-8.6685088136,-357.00,Maine ADCIRC model
-70.1007812400,43.6978062000,-8.6766271770,-356.00,Maine ADCIRC model
-70.1007850100,43.6978064500,-8.6847706522,-355.00,Maine ADCIRC model
-70.1007887800,43.6978067000,-8.6929141274,-354.00,Maine ADCIRC model
-70.1007925400,43.6978069500,-8.7010324908,-353.00,Maine ADCIRC model
-70.1007963100,43.6978072000,-8.7091759660,-352.00,Maine ADCIRC model
-70.1008000800,43.6978074500,-8.7173194412,-351.00,Maine ADCIRC model
-70.1008038400,43.6978077100,-8.7253848570,-350.00,Maine ADCIRC model
-70.1008076100,43.6978079600,-8.7335283322,-349.00,Maine ADCIRC model
-70.1008113800,43.6978082100,-8.7416718074,-348.00,Maine ADCIRC model
-70.1008151400,43.6978084600,-8.7497901708,-347.00,Maine ADCIRC model
-70.1008189100,43.6978087100,-8.7579336460,-346.00,Maine ADCIRC model
-70.1008226700,43.6978089600,-8.7660520093,-345.00,Maine ADCIRC model
-70.1008264400,43.6978092100,-8.7741954846,-344.00,Maine ADCIRC model
-70.1008302100,43.6978094600,-8.7823389598,-343.00,Maine ADCIRC model
-70.1008339700,43.6978097100,-8.7845201895,-342.00,Maine ADCIRC model
-70.1008377400,43.6978099600,-8.7856302734,-341.00,Maine ADCIRC model
-70.1008415100,43.6978102100,-8.7867403572,-340.00,Maine ADCIRC model
-70.1008452700,43.6978104600,-8.7878445848,-339.00,Maine ADCIRC model
-70.1008490400,43.6978107100,-8.7889546687,-338.00,Maine ADCIRC model
-70.1008528100,43.6978109600,-8.7900647526,-337.00,Maine ADCIRC model
-70.1008565700,43.6978112100,-8.7911689802,-336.00,Maine ADCIRC model
-70.1008603400,43.6978114600,-8.7922790640,-335.00,Maine ADCIRC model
-70.1008641100,43.6978117100,-8.7933891479,-334.00,Maine ADCIRC model
-70.1008678700,43.6978119600,-8.7944933755,-333.00,Maine ADCIRC model
-70.1008716400,43.6978122100,-8.7956034593,-332.00,Maine ADCIRC model
-70.1008754000,43.6978124700,-8.7966637777,-331.00,Maine ADCIRC model
-70.1008791700,43.6978127200,-8.7977738616,-330.00,Maine ADCIRC model
-70.1008829400,43.6978129700,-8.7988839454,-329.00,Maine ADCIRC model
-70.1008867000,43.6978132200,-8.7999881730,-328.00,Maine ADCIRC model
-70.1008904700,43.6978134700,-8.8010982569,-327.00,Maine ADCIRC model
-70.1008942400,43.6978137200,-8.8022083408,-326.00,Maine ADCIRC model
-70.1008980000,43.6978139700,-8.8033125684,-325.00,Maine ADCIRC model
-70.1009017700,43.6978142200,-8.8044226522,-324.00,Maine ADCIRC model
-70.1009055400,43.6978144700,-8.8055327361,-323.00,Maine ADCIRC model
-70.1009093000,43.6978147200,-8.8066369637,-322.00,Maine ADCIRC model
-70.1009130700,43.6978149700,-8.8077470475,-321.00,Maine ADCIRC model
-70.1009168400,43.6978152200,-8.8088571314,-320.00,Maine ADCIRC model
-70.1009206000,43.6978154700,-8.8099613590,-319.00,Maine ADCIRC model
-70.1009243700,43.6978157200,-8.8110714429,-318.00,Maine ADCIRC model
-70.1009281300,43.6978159700,-8.8121756705,-317.00,Maine ADCIRC model
-70.1009319000,43.6978162200,-8.8132857543,-316.00,Maine ADCIRC model
-70.1009356700,43.6978164700,-8.8143958382,-315.00,Maine ADCIRC model
-70.1009394300,43.6978167200,-8.8155000658,-314.00,Maine ADCIRC model
-70.1009432000,43.6978169700,-8.8166101497,-313.00,Maine ADCIRC model
-70.1009469700,43.6978172200,-8.8177202335,-312.00,Maine ADCIRC model
-70.1009507300,43.6978174800,-8.8187805519,-311.00,Maine ADCIRC model
-70.1009545000,43.6978177300,-8.8198906358,-310.00,Maine ADCIRC model
