%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       4.52494       13.6374       13.8874       12.3215         0.000       31.5548        8.2760     -0.014030 
           1.            0.       4.53525       13.6419       13.8874       12.1403         0.000       31.6079        8.2765     -0.013505 
           2.            0.       4.54296       13.6460       13.8874       11.9753         0.000       31.6503        8.2871     -0.012869 
           3.            0.       4.54977       13.6498       13.8874       11.8290         0.000       31.6834        8.2877     -0.012324 
           4.            0.       4.55392       13.6531       13.8874       11.6994         0.000       31.7089        8.2983     -0.011669 
           5.            0.       4.55776       13.6561       13.8874       11.5832         0.000       31.7287        8.2989     -0.011104 
           6.            0.       4.55949       13.6587       13.8874       11.4786         0.000       31.7439        8.3096     -0.010434 
           7.            0.       4.56057       13.6611       13.8874       11.3850         0.000       31.7377        8.3101     -0.009852 
           8.            0.       4.56099       13.6632       13.8874       11.3003         0.000       31.7412        8.3107     -0.009269 
           9.            0.       4.55978       13.6651       13.8874       11.2231         0.000       31.7443        8.3214     -0.008585 
          10.            0.       4.55872       13.6669       13.8874       11.1533         0.000       31.7459        8.3220     -0.007999 
          11.            0.       4.55621       13.6684       13.8874       11.0890         0.000       31.7464        8.3327     -0.007315 
          12.            0.       4.55398       13.6699       13.8874       11.0305         0.000       31.7451        8.3333     -0.006729 
          13.            0.       4.55047       13.6712       13.8874       10.9761         0.000       31.7430        8.3440     -0.006050 
          14.            0.       4.54693       13.6724       13.8874       10.9265         0.000       31.7232        8.3445     -0.005464 
          15.            0.       4.54333       13.6735       13.8874       10.8804         0.000       31.7152        8.3451     -0.004883 
          16.            0.       4.53868       13.6745       13.8874       10.8372         0.000       31.7082        8.3558     -0.004211 
          17.            0.       4.53457       13.6754       13.8874       10.7975         0.000       31.7015        8.3564     -0.003638 
          18.            0.       4.52946       13.6763       13.8874       10.7599         0.000       31.6950        8.3670     -0.002976 
          19.            0.       4.52451       13.6770       13.8874       10.7254         0.000       31.6723        8.3676     -0.002409 
          20.            0.       4.52052       13.6778       13.8874       10.6892         0.000       31.6655        8.3682     -0.001846 
          21.            0.       4.51591       13.6784       13.8874       10.6532         0.000       31.6609        8.3788     -0.001196 
          22.            0.       4.51197       13.6790       13.8874       10.6194         0.000       31.6569        8.3794     -0.000641 
          23.            0.       4.50719       13.6795       13.8874       10.5866         0.000       31.6533        8.3900      0.000000 
          24.            0.       4.50262       13.6800       13.8874       10.5561         0.000       31.6341        8.3905      0.000549 
          25.            0.       4.49753       13.6804       13.8874       10.5270         0.000       31.5999        8.3911      0.001097 
          26.            0.       4.49288       13.6808       13.8874       10.5000         0.000       31.5604        8.3816      0.001555 
          27.            0.       4.48764       13.6812       13.8874       10.4736         0.000       31.5309        8.3821      0.002099 
          28.            0.       4.48236       13.6815       13.8874       10.4483         0.000       31.5039        8.3826      0.002640 
          29.            0.       4.47701       13.6818       13.8874       10.4242         0.000       31.4782        8.3832      0.003177 
          30.            0.       4.47160       13.6820       13.8874       10.4011         0.000       31.4529        8.3837      0.003710 
          31.            0.       4.46612       13.6822       13.8874       10.3790         0.000       31.4279        8.3842      0.004239 
          32.            0.       4.46058       13.6824       13.8874       10.3578         0.000       31.4032        8.3848      0.004765 
          33.            0.       4.45500       13.6826       13.8874       10.3375         0.000       31.3787        8.3853      0.005285 
          34.            0.       4.44936       13.6827       13.8874       10.3180         0.000       31.3544        8.3858      0.005802 
          35.            0.       4.44370       13.6828       13.8874       10.2992         0.000       31.3304        8.3863      0.006314 
          36.            0.       4.43800       13.6830       13.8874       10.2811         0.000       31.3066        8.3868      0.006822 
          37.            0.       4.43227       13.6830       13.8874       10.2637         0.000       31.2831        8.3873      0.007325 
          38.            0.       4.42653       13.6831       13.8874       10.2470         0.000       31.2600        8.3878      0.007824 
          39.            0.       4.42051       13.6832       13.8874       10.2308         0.000       31.2261        8.3883      0.008320 
          40.            0.       4.41503       13.6832       13.8874       10.2158         0.000       31.1892        8.3787      0.008728 
          41.            0.       4.40911       13.6832       13.8874       10.2007         0.000       31.1625        8.3792      0.009218 
          42.            0.       4.40325       13.6833       13.8874       10.1860         0.000       31.1389        8.3797      0.009703 
          43.            0.       4.39743       13.6833       13.8874       10.1719         0.000       31.1168        8.3802      0.010184 
          44.            0.       4.39161       13.6833       13.8874       10.1582         0.000       31.0953        8.3807      0.010660 
          45.            0.       4.38580       13.6832       13.8874       10.1449         0.000       31.0743        8.3811      0.011131 
          46.            0.       4.38001       13.6832       13.8874       10.1320         0.000       31.0535        8.3816      0.011598 
          47.            0.       4.37422       13.6832       13.8874       10.1195         0.000       31.0331        8.3821      0.012060 
          48.            0.       4.36845       13.6831       13.8874       10.1074         0.000       31.0131        8.3825      0.012518 
          49.            0.       4.36270       13.6831       13.8874       10.0957         0.001       30.9933        8.3830      0.012971 
          50.            0.       4.35697       13.6830       13.8874       10.0843         0.001       30.9738        8.3834      0.013419 
          51.            0.       4.35100       13.6830       13.8874       10.0731         0.001       30.9441        8.3839      0.013865 
          52.            0.       4.34535       13.6829       13.8874       10.0630         0.001       30.9011        8.3742      0.014228 
          53.            0.       4.33957       13.6828       13.8874       10.0530         0.001       30.8539        8.3646      0.014590 
          54.            0.       4.33352       13.6828       13.8874       10.0433         0.001       30.7958        8.3550      0.014953 
          55.            0.       4.32797       13.6827       13.8874       10.0345         0.001       30.7343        8.3352      0.015236 
          56.            0.       4.32198       13.6826       13.8874       10.0252         0.001       30.6822        8.3256      0.015601 
          57.            0.       4.31582       13.6826       13.8874       10.0160         0.001       30.6240        8.3160      0.015966 
          58.            0.       4.31020       13.6825       13.8874       10.0078         0.001       30.5639        8.2962      0.016250 
          59.            0.       4.30416       13.6824       13.8874        9.9990         0.001       30.5136        8.2866      0.016617 
          60.            0.       4.29796       13.6823       13.8874        9.9904         0.001       30.4578        8.2770      0.016984 
          61.            0.       4.29230       13.6822       13.8874        9.9827         0.001       30.4007        8.2573      0.017271 
          62.            0.       4.28719       13.6821       13.8874        9.9701         0.001       30.3573        8.2476      0.017641 
          63.            0.       4.28222       13.6821       13.8874        9.9563         0.001       30.3103        8.2380      0.018014 
          64.            0.       4.27786       13.6820       13.8874        9.9431         0.001       30.2633        8.2183      0.018309 
          65.            0.       4.27281       13.6819       13.8874        9.9291         0.001       30.2167        8.2087      0.018690 
          66.            0.       4.26830       13.6818       13.8874        9.9161         0.001       30.1696        8.1890      0.018992 
          67.            0.       4.26329       13.6818       13.8874        9.9025         0.001       30.1303        8.1794      0.019378 
          68.            0.       4.25809       13.6817       13.8874        9.8891         0.001       30.0862        8.1698      0.019765 
          69.            0.       4.25338       13.6817       13.8874        9.8768         0.001       30.0401        8.1501      0.020074 
          70.            0.       4.24816       13.6816       13.8874        9.8639         0.001       30.0013        8.1405      0.020466 
          71.            0.       4.24275       13.6816       13.8874        9.8512         0.001       29.9576        8.1309      0.020859 
          72.            0.       4.23784       13.6815       13.8874        9.8395         0.001       29.9119        8.1112      0.021174 
          73.            0.       4.23243       13.6815       13.8874        9.8272         0.001       29.8735        8.1016      0.021572 
          74.            0.       4.22682       13.6815       13.8874        9.8152         0.001       29.8305        8.0920      0.021972 
          75.            0.       4.22129       13.6814       13.8874        9.8054         0.000       29.7882        8.0723      0.022307 
          76.            0.       4.21495       13.6814       13.8874        9.7961       360.000       29.7546        8.0627      0.022735 
          77.            0.       4.20827       13.6814       13.8874        9.7874       360.000       29.7166        8.0532      0.023168 
          78.            0.       4.20206       13.6814       13.8874        9.7799       359.999       29.6764        8.0335      0.023522 
          79.            0.       4.19523       13.6814       13.8874        9.7722       359.998       29.6428        8.0240      0.023962 
          80.            0.       4.18826       13.6813       13.8874        9.7646       359.999       29.6044        8.0144      0.024402 
          81.            0.       4.18257       13.6814       13.8874        9.7556       359.999       29.5613        7.9947      0.024737 
          82.            0.       4.17660       13.6813       13.8874        9.7454       359.998       29.5248        7.9851      0.025149 
          83.            0.       4.17015       13.6813       13.8874        9.7363       359.994       29.4847        7.9756      0.025573 
          84.            0.       4.16418       13.6814       13.8874        9.7283       359.989       29.4426        7.9559      0.025916 
          85.            0.       4.15757       13.6814       13.8874        9.7195       359.983       29.4004        7.9463      0.026343 
          86.            0.       4.15148       13.6814       13.8874        9.7119       359.977       29.3572        7.9267      0.026690 
          87.            0.       4.14490       13.6814       13.8874        9.7035       359.970       29.3214        7.9171      0.027120 
          88.            0.       4.13836       13.6814       13.8874        9.6954       359.963       29.2881        7.9075      0.027550 
          89.            0.       4.13184       13.6814       13.8874        9.6873       359.956       29.2557        7.8980      0.027978 
          90.            0.       4.12531       13.6814       13.8874        9.6794       359.949       29.2237        7.8884      0.028404 
          91.            0.       4.11879       13.6814       13.8874        9.6716       359.942       29.1919        7.8788      0.028830 
          92.            0.       4.11226       13.6815       13.8874        9.6639       359.935       29.1603        7.8693      0.029255 
          93.            0.       4.10573       13.6815       13.8874        9.6563       359.928       29.1288        7.8597      0.029679 
          94.            0.       4.09920       13.6815       13.8874        9.6488       359.922       29.0975        7.8501      0.030101 
          95.            0.       4.09306       13.6815       13.8874        9.6403       359.919       29.0654        7.8405      0.030511 
          96.            0.       4.08702       13.6816       13.8874        9.6314       359.918       29.0332        7.8309      0.030917 
          97.            0.       4.08087       13.6816       13.8874        9.6226       359.918       28.9941        7.8213      0.031321 
          98.            0.       4.07523       13.6816       13.8874        9.6147       359.917       28.9525        7.8016      0.031645 
          99.            0.       4.06910       13.6816       13.8874        9.6060       359.917       28.9174        7.7921      0.032051 
         100.            0.       4.06299       13.6817       13.8874        9.5974       359.917       28.8846        7.7825      0.032458 
         101.            0.       4.05689       13.6817       13.8874        9.5890       359.917       28.8527        7.7729      0.032864 
         102.            0.       4.05078       13.6817       13.8874        9.5806       359.916       28.8211        7.7633      0.033269 
         103.            0.       4.04466       13.6818       13.8874        9.5724       359.916       28.7899        7.7537      0.033674 
         104.            0.       4.03853       13.6818       13.8874        9.5643       359.916       28.7589        7.7441      0.034078 
         105.            0.       4.03239       13.6819       13.8874        9.5564       359.916       28.7281        7.7345      0.034482 
         106.            0.       4.02625       13.6819       13.8874        9.5485       359.916       28.6975        7.7249      0.034885 
         107.            0.       4.02009       13.6819       13.8874        9.5407       359.916       28.6671        7.7153      0.035288 
         108.            0.       4.01379       13.6820       13.8874        9.5330       359.915       28.6302        7.7057      0.035690 
         109.            0.       4.00799       13.6820       13.8874        9.5264       359.915       28.5907        7.6860      0.036012 
         110.            0.       4.00170       13.6821       13.8874        9.5189       359.915       28.5578        7.6764      0.036417 
         111.            0.       3.99544       13.6821       13.8874        9.5114       359.916       28.5270        7.6668      0.036821 
         112.            0.       3.98919       13.6821       13.8874        9.5041       359.916       28.4971        7.6572      0.037225 
         113.            0.       3.98281       13.6822       13.8874        9.4969       359.916       28.4610        7.6476      0.037628 
         114.            0.       3.97693       13.6822       13.8874        9.4907       359.916       28.4224        7.6280      0.037951 
         115.            0.       3.97057       13.6823       13.8874        9.4836       359.916       28.3904        7.6184      0.038357 
         116.            0.       3.96424       13.6823       13.8874        9.4766       359.917       28.3604        7.6088      0.038763 
         117.            0.       3.95802       13.6824       13.8874        9.4693       359.916       28.3314        7.5992      0.039167 
         118.            0.       3.95179       13.6824       13.8874        9.4614       359.916       28.2964        7.5896      0.039570 
         119.            0.       3.94610       13.6825       13.8874        9.4545       359.917       28.2587        7.5699      0.039894 
         120.            0.       3.94004       13.6825       13.8874        9.4468       359.919       28.2338        7.5603      0.040301 
         121.            0.       3.93362       13.6826       13.8874        9.4382       359.920       28.2206        7.5608      0.040787 
         122.            0.       3.92718       13.6826       13.8874        9.4298       359.922       28.2043        7.5613      0.041267 
         123.            0.       3.92130       13.6827       13.8874        9.4226       359.925       28.1867        7.5517      0.041664 
         124.            0.       3.91499       13.6827       13.8874        9.4145       359.927       28.1763        7.5521      0.042138 
         125.            0.       3.90862       13.6828       13.8874        9.4066       359.931       28.1615        7.5526      0.042607 
         126.            0.       3.90271       13.6828       13.8874        9.4002       359.935       28.1455        7.5430      0.042997 
         127.            0.       3.89635       13.6829       13.8874        9.3930       359.939       28.1364        7.5435      0.043463 
         128.            0.       3.88994       13.6829       13.8874        9.3860       359.944       28.1227        7.5439      0.043924 
         129.            0.       3.88408       13.6830       13.8874        9.3802       359.949       28.1072        7.5343      0.044303 
         130.            0.       3.87779       13.6830       13.8874        9.3734       359.954       28.0986        7.5348      0.044758 
         131.            0.       3.87157       13.6831       13.8874        9.3669       359.960       28.0923        7.5352      0.045208 
         132.            0.       3.86529       13.6831       13.8874        9.3605       359.965       28.0800        7.5357      0.045652 
         133.            0.       3.85954       13.6832       13.8874        9.3553       359.970       28.0652        7.5260      0.046016 
         134.            0.       3.85330       13.6832       13.8874        9.3494       359.975       28.0572        7.5265      0.046456 
         135.            0.       3.84701       13.6833       13.8874        9.3437       359.980       28.0445        7.5269      0.046891 
         136.            0.       3.84127       13.6834       13.8874        9.3391       359.985       28.0297        7.5172      0.047245 
         137.            0.       3.83517       13.6834       13.8874        9.3334       359.989       28.0210        7.5177      0.047672 
         138.            0.       3.82903       13.6835       13.8874        9.3278       359.993       28.0078        7.5181      0.048094 
         139.            0.       3.82361       13.6835       13.8874        9.3229       359.998       27.9912        7.5084      0.048429 
         140.            0.       3.81793       13.6836       13.8874        9.3165         0.004       27.9804        7.5088      0.048834 
         141.            0.       3.81236       13.6836       13.8874        9.3102         0.010       27.9715        7.5092      0.049234 
         142.            0.       3.80686       13.6837       13.8874        9.3035         0.018       27.9567        7.5096      0.049624 
         143.            0.       3.80197       13.6838       13.8874        9.2977         0.028       27.9397        7.4999      0.049934 
         144.            0.       3.79674       13.6838       13.8874        9.2907         0.039       27.9294        7.5003      0.050316 
         145.            0.       3.79153       13.6839       13.8874        9.2836         0.050       27.9144        7.5007      0.050691 
         146.            0.       3.78691       13.6839       13.8874        9.2775         0.062       27.8972        7.4910      0.050987 
         147.            0.       3.78194       13.6840       13.8874        9.2702         0.075       27.8871        7.4914      0.051354 
         148.            0.       3.77706       13.6841       13.8874        9.2625         0.088       27.8729        7.4917      0.051714 
         149.            0.       3.77276       13.6841       13.8874        9.2559         0.101       27.8565        7.4820      0.051995 
         150.            0.       3.76810       13.6842       13.8874        9.2481         0.114       27.8464        7.4823      0.052348 
         151.            0.       3.76355       13.6842       13.8874        9.2403         0.127       27.8384        7.4827      0.052695 
         152.            0.       3.75895       13.6843       13.8874        9.2326         0.140       27.8249        7.4830      0.053038 
         153.            0.       3.75476       13.6844       13.8874        9.2259         0.153       27.8028        7.4733      0.053303 
         154.            0.       3.75050       13.6844       13.8874        9.2192         0.166       27.7779        7.4636      0.053569 
         155.            0.       3.74611       13.6845       13.8874        9.2126         0.179       27.7460        7.4538      0.053834 
         156.            0.       3.74209       13.6846       13.8874        9.2069         0.192       27.7052        7.4340      0.054026 
         157.            0.       3.73794       13.6847       13.8874        9.2008         0.206       27.6562        7.4142      0.054219 
         158.            0.       3.73425       13.6848       13.8874        9.1957         0.221       27.6052        7.3843      0.054343 
         159.            0.       3.73011       13.6849       13.8874        9.1892         0.238       27.5606        7.3645      0.054547 
         160.            0.       3.72595       13.6850       13.8874        9.1827         0.256       27.5177        7.3448      0.054755 
