%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       5.68863       13.8188       13.8874       12.6710         0.000       31.5057        9.5700      0.000000 
           1.            0.       5.69898       13.8216       13.8874       12.4751         0.000       31.4436        9.5508      0.000832 
           2.            0.       5.70778       13.8243       13.8874       12.2978         0.000       31.3732        9.5216      0.001574 
           3.            0.       5.71295       13.8267       13.8874       12.1408         0.000       31.3051        9.5025      0.002465 
           4.            0.       5.71551       13.8290       13.8874       12.0025         0.000       31.2341        9.4834      0.003387 
           5.            0.       5.71542       13.8310       13.8874       11.8804         0.000       31.1506        9.4643      0.004341 
           6.            0.       5.71413       13.8328       13.8874       11.7721         0.000       31.0691        9.4352      0.005218 
           7.            0.       5.71073       13.8344       13.8874       11.6736         0.000       30.9958        9.4162      0.006240 
           8.            0.       5.70569       13.8360       13.8874       11.5845         0.000       30.9150        9.3973      0.007286 
           9.            0.       5.70015       13.8373       13.8874       11.5042         0.000       30.8322        9.3682      0.008239 
          10.            0.       5.69279       13.8386       13.8874       11.4307         0.000       30.7575        9.3493      0.009328 
          11.            0.       5.68448       13.8397       13.8874       11.3637         0.000       30.6842        9.3304      0.010430 
          12.            0.       5.67503       13.8408       13.8874       11.3024         0.000       30.6038        9.3115      0.011547 
          13.            0.       5.66554       13.8418       13.8874       11.2466         0.000       30.5202        9.2826      0.012559 
          14.            0.       5.65496       13.8427       13.8874       11.1946         0.000       30.4503        9.2637      0.013696 
          15.            0.       5.64362       13.8435       13.8874       11.1462         0.000       30.3993        9.2549      0.014945 
          16.            0.       5.63152       13.8442       13.8874       11.1009         0.000       30.3636        9.2563      0.016300 
          17.            0.       5.61924       13.8449       13.8874       11.0592         0.000       30.3330        9.2576      0.017639 
          18.            0.       5.60713       13.8455       13.8874       11.0206         0.000       30.3170        9.2590      0.018960 
          19.            0.       5.59415       13.8461       13.8874       10.9843         0.000       30.3057        9.2704      0.020375 
          20.            0.       5.58120       13.8466       13.8874       10.9511         0.000       30.2732        9.2717      0.021661 
          21.            0.       5.56839       13.8471       13.8874       10.9207         0.000       30.2245        9.2628      0.022823 
          22.            0.       5.55529       13.8476       13.8874       10.8923         0.000       30.1719        9.2540      0.023977 
          23.            0.       5.54201       13.8480       13.8874       10.8657         0.000       30.1181        9.2451      0.025122 
          24.            0.       5.52836       13.8484       13.8874       10.8406         0.000       30.0564        9.2363      0.026259 
          25.            0.       5.51529       13.8487       13.8874       10.8176         0.000       29.9958        9.2173      0.027283 
          26.            0.       5.50295       13.8491       13.8874       10.7901         0.000       29.9462        9.2084      0.028415 
          27.            0.       5.49101       13.8494       13.8874       10.7622         0.000       29.9000        9.1995      0.029540 
          28.            0.       5.47910       13.8496       13.8874       10.7350         0.000       29.8548        9.1907      0.030659 
          29.            0.       5.46709       13.8499       13.8874       10.7088         0.000       29.8100        9.1818      0.031772 
          30.            0.       5.45498       13.8501       13.8874       10.6838         0.000       29.7655        9.1729      0.032879 
          31.            0.       5.44277       13.8503       13.8874       10.6598         0.000       29.7212        9.1640      0.033980 
          32.            0.       5.43024       13.8504       13.8874       10.6368         0.000       29.6703        9.1551      0.035075 
          33.            0.       5.41826       13.8506       13.8874       10.6155         0.000       29.6171        9.1361      0.036058 
          34.            0.       5.40564       13.8507       13.8874       10.5943         0.000       29.5703        9.1271      0.037146 
          35.            0.       5.39302       13.8508       13.8874       10.5739         0.000       29.5257        9.1182      0.038226 
          36.            0.       5.38037       13.8509       13.8874       10.5543         0.000       29.4822        9.1093      0.039298 
          37.            0.       5.36765       13.8509       13.8874       10.5357       360.000       29.4394        9.1004      0.040363 
          38.            0.       5.35456       13.8510       13.8874       10.5186       359.998       29.3987        9.0914      0.041434 
          39.            0.       5.34125       13.8510       13.8874       10.5027       359.995       29.3588        9.0825      0.042503 
          40.            0.       5.32773       13.8510       13.8874       10.4874       359.990       29.3128        9.0736      0.043564 
          41.            0.       5.31469       13.8510       13.8874       10.4738       359.984       29.2642        9.0545      0.044518 
          42.            0.       5.30113       13.8510       13.8874       10.4600       359.978       29.2219        9.0456      0.045570 
          43.            0.       5.28766       13.8510       13.8874       10.4466       359.971       29.1818        9.0366      0.046612 
          44.            0.       5.27425       13.8510       13.8874       10.4337       359.965       29.1426        9.0276      0.047643 
          45.            0.       5.26140       13.8509       13.8874       10.4200       359.963       29.1025        9.0186      0.048647 
          46.            0.       5.24875       13.8509       13.8874       10.4064       359.961       29.0624        9.0096      0.049635 
          47.            0.       5.23601       13.8508       13.8874       10.3929       359.961       29.0162        9.0006      0.050614 
          48.            0.       5.22392       13.8508       13.8874       10.3806       359.960       28.9678        8.9815      0.051482 
          49.            0.       5.21131       13.8507       13.8874       10.3678       359.960       28.9257        8.9724      0.052449 
          50.            0.       5.19880       13.8506       13.8874       10.3554       359.959       28.8858        8.9634      0.053408 
          51.            0.       5.18635       13.8505       13.8874       10.3434       359.959       28.8469        8.9544      0.054357 
          52.            0.       5.17396       13.8504       13.8874       10.3317       359.958       28.8086        8.9453      0.055298 
          53.            0.       5.16161       13.8503       13.8874       10.3204       359.958       28.7707        8.9362      0.056231 
          54.            0.       5.14933       13.8502       13.8874       10.3093       359.957       28.7332        8.9272      0.057155 
          55.            0.       5.13692       13.8501       13.8874       10.2986       359.957       28.6897        8.9181      0.058070 
          56.            0.       5.12516       13.8500       13.8874       10.2888       359.956       28.6443        8.8989      0.058880 
          57.            0.       5.11290       13.8499       13.8874       10.2785       359.956       28.6049        8.8898      0.059785 
          58.            0.       5.10075       13.8498       13.8874       10.2685       359.956       28.5677        8.8807      0.060683 
          59.            0.       5.08867       13.8497       13.8874       10.2588       359.955       28.5315        8.8716      0.061572 
          60.            0.       5.07666       13.8496       13.8874       10.2492       359.955       28.4959        8.8625      0.062454 
          61.            0.       5.06472       13.8494       13.8874       10.2400       359.955       28.4606        8.8533      0.063327 
          62.            0.       5.05284       13.8493       13.8874       10.2309       359.954       28.4257        8.8442      0.064192 
          63.            0.       5.04087       13.8492       13.8874       10.2220       359.954       28.3849        8.8350      0.065049 
          64.            0.       5.02954       13.8490       13.8874       10.2141       359.954       28.3421        8.8158      0.065802 
          65.            0.       5.01772       13.8489       13.8874       10.2055       359.954       28.3053        8.8067      0.066650 
          66.            0.       5.00587       13.8488       13.8874       10.1972       359.953       28.2645        8.7975      0.067491 
          67.            0.       4.99435       13.8486       13.8874       10.1897       359.953       28.2101        8.7782      0.068228 
