header
IE0.0    -18.236       1       1 8.9627  23.6491 13.6257   56.14   56.14
OF78.7   -18.550    0.00 8.9645     0.00    0.00    0.00    0.00    0.00
OF82.0   -18.548    0.00 8.9663     0.00    0.00    0.00    0.00    0.00
OF85.3   -18.545    0.00 8.9678     0.00    0.00    0.00    0.00    0.00
OF88.6   -18.543    0.00 8.9696     0.00    0.00    0.00    0.00    0.00
OF91.9   -18.541    0.00 8.9714     0.00    0.00    0.00    0.00    0.00
OF95.1   -18.539    0.00 8.9731     0.00    0.00    0.00    0.00    0.00
OF98.4   -18.536    0.00 8.9749     0.00    0.00    0.00    0.00    0.00
OF101.7  -18.534    0.00 8.9766     0.00    0.00    0.00    0.00    0.00
OF105.0  -18.532    0.00 8.9784     0.00    0.00    0.00    0.00    0.00
OF108.3  -18.529    0.00 8.9801     0.00    0.00    0.00    0.00    0.00
OF111.5  -18.527    0.00 8.9818     0.00    0.00    0.00    0.00    0.00
OF114.8  -18.525    0.00 8.9834     0.00    0.00    0.00    0.00    0.00
OF118.1  -18.522    0.00 8.9851     0.00    0.00    0.00    0.00    0.00
OF121.4  -18.520    0.00 8.9868     0.00    0.00    0.00    0.00    0.00
OF124.7  -18.518    0.00 8.9884     0.00    0.00    0.00    0.00    0.00
OF128.0  -18.516    0.00 8.99       0.00    0.00    0.00    0.00    0.00
OF131.2  -18.513    0.00 8.9914     0.00    0.00    0.00    0.00    0.00
OF134.5  -18.511    0.00 8.993      0.00    0.00    0.00    0.00    0.00
OF137.8  -18.509    0.00 8.9946     0.00    0.00    0.00    0.00    0.00
OF141.1  -18.506    0.00 8.9961     0.00    0.00    0.00    0.00    0.00
OF144.4  -18.504    0.00 8.9977     0.00    0.00    0.00    0.00    0.00
OF147.6  -18.502    0.00 8.9992     0.00    0.00    0.00    0.00    0.00
OF150.9  -18.499    0.00 9.0008     0.00    0.00    0.00    0.00    0.00
OF154.2  -18.497    0.00 9.0023     0.00    0.00    0.00    0.00    0.00
OF157.5  -18.495    0.00 9.0038     0.00    0.00    0.00    0.00    0.00
OF160.8  -18.493    0.00 9.0053     0.00    0.00    0.00    0.00    0.00
OF164.0  -18.490    0.00 9.0067     0.00    0.00    0.00    0.00    0.00
OF167.3  -18.488    0.00 9.0082     0.00    0.00    0.00    0.00    0.00
OF170.6  -18.472    0.00 9.0094     0.00    0.00    0.00    0.00    0.00
OF173.9  -18.442    0.00 9.0106     0.00    0.00    0.00    0.00    0.00
OF177.2  -18.391    0.00 9.0118     0.00    0.00    0.00    0.00    0.00
OF180.4  -18.344    0.00 9.0127     0.00    0.00    0.00    0.00    0.00
OF183.7  -18.300    0.00 9.0139     0.00    0.00    0.00    0.00    0.00
OF187.0  -18.256    0.00 9.0151     0.00    0.00    0.00    0.00    0.00
OF190.3  -18.211    0.00 9.016      0.00    0.00    0.00    0.00    0.00
OF193.6  -18.167    0.00 9.0172     0.00    0.00    0.00    0.00    0.00
OF196.8  -18.123    0.00 9.0184     0.00    0.00    0.00    0.00    0.00
OF200.1  -18.078    0.00 9.0194     0.00    0.00    0.00    0.00    0.00
OF203.4  -18.034    0.00 9.0206     0.00    0.00    0.00    0.00    0.00
OF206.7  -17.990    0.00 9.0218     0.00    0.00    0.00    0.00    0.00
OF210.0  -17.946    0.00 9.0228     0.00    0.00    0.00    0.00    0.00
OF213.3  -17.901    0.00 9.024      0.00    0.00    0.00    0.00    0.00
OF216.5  -17.857    0.00 9.025      0.00    0.00    0.00    0.00    0.00
OF219.8  -17.813    0.00 9.0263     0.00    0.00    0.00    0.00    0.00
