type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,374631.5097,4797684.5644,-70.5461820276304,43.321554135446,-22.504,8.891,23.34,25.23,14.03
OF,3.3,374630.758155323,4797685.23290486,-70.5461914458259,43.3215600275757,-22.429,8.894,23.29,25.19,14.03
OF,6.6,374630.006610647,4797685.90140973,-70.5462008640231,43.3215659197046,-22.355,8.896,23.23,25.16,14.03
OF,9.8,374629.277840051,4797686.54965687,-70.5462099968222,43.3215716332834,-22.280,8.899,23.18,25.13,14.03
OF,13.1,374628.526295375,4797687.21816173,-70.5462194150231,43.3215775254108,-22.206,8.902,23.13,25.10,14.03
OF,16.4,374627.774750698,4797687.88666659,-70.5462288332258,43.3215834175373,-22.131,8.905,23.08,25.06,14.03
OF,19.7,374627.023206022,4797688.55517145,-70.5462382514302,43.321589309663,-22.056,8.908,23.03,25.03,14.03
OF,23,374626.271661345,4797689.22367632,-70.5462476696365,43.321595201788,-21.982,8.911,22.98,25.00,14.03
OF,26.2,374625.54289075,4797689.87192346,-70.5462568024444,43.3216009153629,-21.907,8.915,22.93,24.97,14.03
OF,29.5,374624.791346073,4797690.54042832,-70.5462662206543,43.3216068074862,-21.833,8.918,22.88,24.93,14.03
OF,32.8,374624.039801396,4797691.20893318,-70.5462756388659,43.3216126996087,-21.758,8.921,22.83,24.90,14.03
OF,36.1,374623.28825672,4797691.87743805,-70.5462850570794,43.3216185917304,-21.683,8.925,22.78,24.87,14.03
OF,39.4,374622.536712043,4797692.54594291,-70.5462944752948,43.3216244838513,-21.609,8.929,22.73,24.84,14.03
OF,42.7,374621.785167367,4797693.21444777,-70.5463038935119,43.3216303759714,-21.534,8.932,22.68,24.81,14.03
OF,45.9,374621.056396771,4797693.86269491,-70.5463130263303,43.3216360895416,-21.460,8.936,22.63,24.78,14.03
OF,49.2,374620.304852095,4797694.53119977,-70.546322444551,43.3216419816601,-21.414,8.940,22.60,24.76,14.03
OF,52.5,374619.553307418,4797695.19970464,-70.5463318627735,43.3216478737777,-21.422,8.944,22.60,24.76,14.03
OF,55.8,374618.801762741,4797695.8682095,-70.5463412809978,43.3216537658946,-21.430,8.949,22.59,24.76,14.03
OF,59.1,374618.050218065,4797696.53671436,-70.546350699224,43.3216596580107,-21.439,8.953,22.59,24.77,14.03
OF,62.3,374617.321447469,4797697.1849615,-70.5463598320511,43.321665371577,-21.447,8.958,22.59,24.77,14.03
OF,65.6,374616.569902793,4797697.85346637,-70.5463692502808,43.3216712636914,-21.454,8.962,22.59,24.77,14.03
OF,68.9,374615.818358116,4797698.52197123,-70.5463786685124,43.3216771558051,-21.422,8.966,22.59,24.78,14.03
OF,72.2,374615.06681344,4797699.19047609,-70.5463880867457,43.3216830479179,-21.385,8.969,22.60,24.79,14.03
OF,75.5,374614.315268763,4797699.85898095,-70.5463975049809,43.32168894003,-21.348,8.973,22.57,24.78,14.03
OF,78.7,374613.586498168,4797700.50722809,-70.5464066378167,43.3216946535924,-21.311,8.977,22.55,24.76,14.03
OF,82,374612.834953491,4797701.17573296,-70.5464160560555,43.3217005457028,-21.274,8.980,22.53,24.75,14.03
OF,85.3,374612.083408814,4797701.84423782,-70.546425474296,43.3217064378125,-21.237,8.984,22.50,24.74,14.03
OF,88.6,374611.331864138,4797702.51274268,-70.5464348925384,43.3217123299213,-21.200,8.988,22.48,24.72,14.03
OF,91.9,374610.580319461,4797703.18124755,-70.5464443107826,43.3217182220293,-21.163,8.991,22.46,24.71,14.03
OF,95.1,374609.851548866,4797703.82949469,-70.5464534436272,43.3217239355878,-21.126,8.995,22.43,24.70,14.03
OF,98.4,374609.100004189,4797704.49799955,-70.546462861875,43.3217298276942,-21.089,8.999,22.41,24.69,14.03
OF,101.7,374608.348459513,4797705.16650441,-70.5464722801246,43.3217357197998,-21.052,9.002,22.39,24.67,14.03
