X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.5510523600,43.3139786700,-27.5233944350,-1813.00,-27.523394435035,19.9067948507751,8.87659990323982,13.9267240600767,155.93821255274,135
-70.5510555700,43.3139801000,-27.5153673354,-1812.00,-27.5153673353955,19.9018767671733,8.87670935905952,13.9259281289284,155.93821255274,135
-70.5510587700,43.3139815300,-27.5073575922,-1811.00,-27.5073575922097,19.8969708465231,8.87681855001719,13.9251342443173,155.93821255274,135
-70.5510619800,43.3139829600,-27.4993304926,-1810.00,-27.4993304925824,19.8920527629262,8.87692800583677,13.9243383131697,155.93821255274,135
-70.5510651900,43.3139843900,-27.4913033929,-1809.00,-27.4913033929429,19.8871346793244,8.87703746165648,13.9235423820214,155.93821255274,135
-70.5510683900,43.3139858300,-27.4832764771,-1808.00,-27.4832764771244,19.8822216692971,8.87714682348977,13.9227475254282,155.93821255274,135
-70.5510716000,43.3139872600,-27.4752493775,-1807.00,-27.475249377497,19.8773035857003,8.87725627930935,13.9219515942805,155.93821255274,135
-70.5510748000,43.3139886900,-27.4672396343,-1806.00,-27.4672396342991,19.8723976650451,8.87736547026714,13.9211577096688,155.93821255274,135
-70.5510780100,43.3139901200,-27.4592125347,-1805.00,-27.4592125346717,19.8674795814483,8.87747492608673,13.9203617785211,155.93821255274,135
-70.5510812100,43.3139915500,-27.4512027915,-1804.00,-27.4512027914614,19.8625736607808,8.87758411704477,13.9195678939071,155.93821255274,135
-70.5510844200,43.3139929900,-27.4431585192,-1803.00,-27.4431585192137,19.8576484878191,8.87769374373972,13.9187709907796,155.93821255274,135
-70.5510876200,43.3139944200,-27.4351487760,-1802.00,-27.4351487760033,19.8527425671516,8.87780293469777,13.9179771061656,155.93821255274,135
-70.5510908300,43.3139958500,-27.4271216764,-1801.00,-27.427121676376,19.8478244835548,8.87791239051735,13.917181175018,155.93821255274,135
-70.5510940400,43.3139972800,-27.4190945768,-1800.00,-27.4190945767611,19.8429063999703,8.87802184633668,13.9163852438726,155.93821255274,135
-70.5510972400,43.3139987100,-27.4110848336,-1799.00,-27.4110848335507,19.8380004793028,8.87813103729473,13.9155913592586,155.93821255274,135
-70.5511004500,43.3140001500,-27.4030405613,-1798.00,-27.4030405612906,19.8330753063289,8.87824066398993,13.9147944561288,155.93821255274,135
-70.5511036500,43.3140015800,-27.3950308181,-1797.00,-27.3950308180927,19.8281693856737,8.87834985494772,13.914000571517,155.93821255274,135
-70.5511068600,43.3140030100,-27.3870037185,-1796.00,-27.3870037184653,19.8232513020768,8.8784593107673,13.9132046403694,155.93821255274,135
-70.5511100600,43.3140044400,-27.3789939753,-1795.00,-27.3789939752796,19.8183453814266,8.87856850172497,13.9124107557583,155.93821255274,135
-70.5511132700,43.3140058700,-27.3709462303,-1794.00,-27.3709462302763,19.8132960556895,8.87868498065791,13.9119450738022,155.93821255274,135
-70.5511164800,43.3140073100,-27.3628510059,-1793.00,-27.3628510058726,19.8080469810299,8.87881194018765,13.9119632158547,155.93821255274,135
-70.5511196800,43.3140087400,-27.3547905796,-1792.00,-27.3547905796262,19.8028188692485,8.87893837244357,13.9119800720977,155.93821255274,135
-70.5511228900,43.3140101700,-27.3467127280,-1791.00,-27.3467127279755,19.7975781561983,8.87906509301703,13.9119959847561,155.93821255274,135
-70.5511260900,43.3140116000,-27.3386523017,-1790.00,-27.3386523017291,19.7923500444168,8.87919152527295,13.9120128409991,155.93821255274,135
-70.5511293000,43.3140130300,-27.3305744501,-1789.00,-27.3305744500908,19.7871093313725,8.87931824584625,13.912028753656,155.93821255274,135
-70.5511325000,43.3140144700,-27.3224966511,-1788.00,-27.3224966510791,19.7818728579757,8.87944491705861,13.9120478392946,155.93821255274,135
-70.5511357100,43.3140159000,-27.3144187994,-1787.00,-27.3144187994283,19.7766321449255,8.87957163763208,13.9120637519531,155.93821255274,135
-70.5511389200,43.3140173300,-27.3063409478,-1786.00,-27.30634094779,19.7713914318812,8.87969835820537,13.91207966461,155.93821255274,135
-70.5511421200,43.3140187600,-27.2982805215,-1785.00,-27.2982805215313,19.7661633200938,8.87982479046146,13.9120965208546,155.93821255274,135
-70.5511453300,43.3140201900,-27.2902026699,-1784.00,-27.2902026698929,19.7609226070495,8.87995151103476,13.9121124335115,155.93821255274,135
-70.5511485300,43.3140216300,-27.2821248709,-1783.00,-27.2821248708564,19.7556861336348,8.88007818224753,13.9121315191487,155.93821255274,135
-70.5511517400,43.3140230600,-27.2740470192,-1782.00,-27.2740470192428,19.7504454206085,8.88020490282042,13.912147431807,155.93821255274,135
-70.5511549400,43.3140244900,-27.2659865930,-1781.00,-27.2659865929593,19.7452173088031,8.88033133507692,13.9121642880502,155.93821255274,135
-70.5511581500,43.3140259200,-27.2579087413,-1780.00,-27.2579087413209,19.7399765957588,8.88045805565021,13.9121802007071,155.93821255274,135
-70.5511613600,43.3140273500,-27.2498308897,-1779.00,-27.249830889695,19.7347358827265,8.88058477622327,13.9121961133669,155.93821255274,135
-70.5511645600,43.3140287900,-27.2417530907,-1778.00,-27.2417530906585,19.7294994093119,8.88071144743604,13.9122151990042,155.93821255274,135
-70.5511677700,43.3140302200,-27.2336752390,-1777.00,-27.2336752390201,19.7242586962676,8.88083816800934,13.9122311116611,155.93821255274,135
-70.5511709700,43.3140316500,-27.2262020318,-1776.00,-27.22620203179,19.7191227689993,8.88096283389507,13.9121235839012,155.93821255274,135
-70.5511741800,43.3140330800,-27.2188869972,-1775.00,-27.2188869972269,19.7140018067063,8.88108725989474,13.9119779175915,155.93821255274,135
-70.5511773800,43.3140345100,-27.2115872652,-1774.00,-27.2115872652087,19.7088931124252,8.88121140396248,13.9118336445277,155.93821255274,135
-70.5511805900,43.3140359500,-27.2042554270,-1773.00,-27.2042554269822,19.7037638778613,8.88133606720659,13.9116900870681,155.93821255274,135
-70.5511838000,43.3140373800,-27.1969403924,-1772.00,-27.1969403924191,19.6986429155683,8.88146049320627,13.9115444207584,155.93821255274,135
-70.5511870000,43.3140388100,-27.1896406604,-1771.00,-27.1896406604008,19.6935342212873,8.88158463727401,13.9114001476945,155.93821255274,135
-70.5511902100,43.3140402400,-27.1823256258,-1770.00,-27.1823256258496,19.6884132590001,8.88170906327351,13.9112544813833,155.93821255274,135
-70.5511934100,43.3140416700,-27.1750258938,-1769.00,-27.1750258938195,19.6833045647132,8.88183320734143,13.911110208321,155.93821255274,135
-70.5511966200,43.3140431100,-27.1676940556,-1768.00,-27.167694055593,19.6781753301493,8.88195787058554,13.9109666508614,155.93821255274,135
