X,Y,Z,STA,source
-70.5547331200,43.3113175400,-24.2630398510,-1616.00,Maine ADCIRC model
-70.5547366800,43.3113184200,-24.2532150904,-1615.00,Maine ADCIRC model
-70.5547402400,43.3113193000,-24.2433903298,-1614.00,Maine ADCIRC model
-70.5547438000,43.3113201800,-24.2335655692,-1613.00,Maine ADCIRC model
-70.5547473600,43.3113210600,-24.2237408087,-1612.00,Maine ADCIRC model
-70.5547509200,43.3113219400,-24.2139160480,-1611.00,Maine ADCIRC model
-70.5547544700,43.3113228300,-24.2040925196,-1610.00,Maine ADCIRC model
-70.5547580300,43.3113237100,-24.1942677590,-1609.00,Maine ADCIRC model
-70.5547615900,43.3113245900,-24.1844429984,-1608.00,Maine ADCIRC model
-70.5547651500,43.3113254700,-24.1746182378,-1607.00,Maine ADCIRC model
-70.5547687100,43.3113263500,-24.1647934772,-1606.00,Maine ADCIRC model
-70.5547722700,43.3113272300,-24.1549687166,-1605.00,Maine ADCIRC model
-70.5547758300,43.3113281200,-24.1451228161,-1604.00,Maine ADCIRC model
-70.5547793800,43.3113290000,-24.1353204276,-1603.00,Maine ADCIRC model
-70.5547829400,43.3113298800,-24.1254956670,-1602.00,Maine ADCIRC model
-70.5547865000,43.3113307600,-24.1161164180,-1601.00,Maine ADCIRC model
-70.5547900600,43.3113316400,-24.1069309697,-1600.00,Maine ADCIRC model
-70.5547936200,43.3113325200,-24.0977455215,-1599.00,Maine ADCIRC model
-70.5547971800,43.3113334000,-24.0885600732,-1598.00,Maine ADCIRC model
-70.5548007400,43.3113342900,-24.0793599541,-1597.00,Maine ADCIRC model
-70.5548043000,43.3113351700,-24.0701745058,-1596.00,Maine ADCIRC model
-70.5548078500,43.3113360500,-24.0610112329,-1595.00,Maine ADCIRC model
-70.5548114100,43.3113369300,-24.0518257846,-1594.00,Maine ADCIRC model
-70.5548149700,43.3113378100,-24.0426403364,-1593.00,Maine ADCIRC model
-70.5548185300,43.3113386900,-24.0334548881,-1592.00,Maine ADCIRC model
-70.5548220900,43.3113395700,-24.0242694398,-1591.00,Maine ADCIRC model
-70.5548256500,43.3113404600,-24.0150693207,-1590.00,Maine ADCIRC model
-70.5548292100,43.3113413400,-24.0058838724,-1589.00,Maine ADCIRC model
-70.5548327600,43.3113422200,-23.9967205995,-1588.00,Maine ADCIRC model
-70.5548363200,43.3113431000,-23.9875351512,-1587.00,Maine ADCIRC model
-70.5548398800,43.3113439800,-23.9783497030,-1586.00,Maine ADCIRC model
-70.5548434400,43.3113448600,-23.9691642547,-1585.00,Maine ADCIRC model
-70.5548470000,43.3113457500,-23.9599641356,-1584.00,Maine ADCIRC model
-70.5548505600,43.3113466300,-23.9507786873,-1583.00,Maine ADCIRC model
-70.5548541200,43.3113475100,-23.9415932391,-1582.00,Maine ADCIRC model
-70.5548576700,43.3113483900,-23.9324299661,-1581.00,Maine ADCIRC model
-70.5548612300,43.3113492700,-23.9232445179,-1580.00,Maine ADCIRC model
-70.5548647900,43.3113501500,-23.9140590696,-1579.00,Maine ADCIRC model
-70.5548683500,43.3113510300,-23.9048736213,-1578.00,Maine ADCIRC model
-70.5548719100,43.3113519200,-23.8956735022,-1577.00,Maine ADCIRC model
-70.5548754700,43.3113528000,-23.8864880539,-1576.00,Maine ADCIRC model
-70.5548790300,43.3113536800,-23.8773026057,-1575.00,Maine ADCIRC model
-70.5548825900,43.3113545600,-23.8681171574,-1574.00,Maine ADCIRC model
-70.5548861400,43.3113554400,-23.8589538845,-1573.00,Maine ADCIRC model
-70.5548897000,43.3113563200,-23.8497684362,-1572.00,Maine ADCIRC model
-70.5548932600,43.3113572000,-23.8405829880,-1571.00,Maine ADCIRC model
-70.5548968200,43.3113580900,-23.8313828688,-1570.00,Maine ADCIRC model
-70.5549003800,43.3113589700,-23.8221974206,-1569.00,Maine ADCIRC model
-70.5549039400,43.3113598500,-23.8130119723,-1568.00,Maine ADCIRC model
-70.5549075000,43.3113607300,-23.8038265241,-1567.00,Maine ADCIRC model
-70.5549110500,43.3113616100,-23.7946632511,-1566.00,Maine ADCIRC model
-70.5549146100,43.3113624900,-23.7854778029,-1565.00,Maine ADCIRC model
-70.5549181700,43.3113633800,-23.7762776837,-1564.00,Maine ADCIRC model
-70.5549217300,43.3113642600,-23.7670922355,-1563.00,Maine ADCIRC model
-70.5549252900,43.3113651400,-23.7579067872,-1562.00,Maine ADCIRC model
-70.5549288500,43.3113660200,-23.7487213389,-1561.00,Maine ADCIRC model
-70.5549324100,43.3113669000,-23.7395358907,-1560.00,Maine ADCIRC model
-70.5549359600,43.3113677800,-23.7295928367,-1559.00,Maine ADCIRC model
-70.5549395200,43.3113686600,-23.7168295336,-1558.00,Maine ADCIRC model
-70.5549430800,43.3113695500,-23.7040452669,-1557.00,Maine ADCIRC model
-70.5549466400,43.3113704300,-23.6912819638,-1556.00,Maine ADCIRC model
-70.5549502000,43.3113713100,-23.6785186607,-1555.00,Maine ADCIRC model
-70.5549537600,43.3113721900,-23.6657553576,-1554.00,Maine ADCIRC model
-70.5549573200,43.3113730700,-23.6529920546,-1553.00,Maine ADCIRC model
-70.5549608800,43.3113739500,-23.6402287515,-1552.00,Maine ADCIRC model
-70.5549644300,43.3113748300,-23.6274961184,-1551.00,Maine ADCIRC model
-70.5549679900,43.3113757200,-23.6147118516,-1550.00,Maine ADCIRC model
-70.5549715500,43.3113766000,-23.6019485485,-1549.00,Maine ADCIRC model
-70.5549751100,43.3113774800,-23.5891852455,-1548.00,Maine ADCIRC model
-70.5549786700,43.3113783600,-23.5764219424,-1547.00,Maine ADCIRC model
-70.5549822300,43.3113792400,-23.5636485564,-1546.00,Maine ADCIRC model
-70.5549857900,43.3113801200,-23.5502515280,-1545.00,Maine ADCIRC model
-70.5549893400,43.3113810000,-23.5368870804,-1544.00,Maine ADCIRC model
-70.5549929000,43.3113818900,-23.5234696175,-1543.00,Maine ADCIRC model
-70.5549964600,43.3113827700,-23.5100725891,-1542.00,Maine ADCIRC model
-70.5550000200,43.3113836500,-23.4966755606,-1541.00,Maine ADCIRC model
-70.5550035800,43.3113845300,-23.4832785322,-1540.00,Maine ADCIRC model
-70.5550071400,43.3113854100,-23.4698815038,-1539.00,Maine ADCIRC model
-70.5550107000,43.3113862900,-23.4564844754,-1538.00,Maine ADCIRC model
-70.5550142500,43.3113871800,-23.4430995933,-1537.00,Maine ADCIRC model
-70.5550178100,43.3113880600,-23.4297025649,-1536.00,Maine ADCIRC model
-70.5550213700,43.3113889400,-23.4163055364,-1535.00,Maine ADCIRC model
-70.5550249300,43.3113898200,-23.4029085080,-1534.00,Maine ADCIRC model
-70.5550284900,43.3113907000,-23.3895114796,-1533.00,Maine ADCIRC model
-70.5550320500,43.3113915800,-23.3761144512,-1532.00,Maine ADCIRC model
-70.5550356100,43.3113924600,-23.3627174228,-1531.00,Maine ADCIRC model
-70.5550391700,43.3113933500,-23.3492999598,-1530.00,Maine ADCIRC model
-70.5550427200,43.3113942300,-23.3359355122,-1529.00,Maine ADCIRC model
-70.5550462800,43.3113951100,-23.3225384838,-1528.00,Maine ADCIRC model
-70.5550498400,43.3113959900,-23.3091414554,-1527.00,Maine ADCIRC model
-70.5550534000,43.3113968700,-23.2957444270,-1526.00,Maine ADCIRC model
-70.5550569600,43.3113977500,-23.2823473986,-1525.00,Maine ADCIRC model
-70.5550605200,43.3113986300,-23.2689503702,-1524.00,Maine ADCIRC model
-70.5550640800,43.3113995200,-23.2555329072,-1523.00,Maine ADCIRC model
-70.5550676300,43.3114004000,-23.2421684597,-1522.00,Maine ADCIRC model
-70.5550711900,43.3114012800,-23.2287714312,-1521.00,Maine ADCIRC model
-70.5550747500,43.3114021600,-23.2153744028,-1520.00,Maine ADCIRC model
-70.5550783100,43.3114030400,-23.2019773744,-1519.00,Maine ADCIRC model
-70.5550818700,43.3114039200,-23.1885803460,-1518.00,Maine ADCIRC model
-70.5550854300,43.3114048100,-23.1751628830,-1517.00,Maine ADCIRC model
-70.5550889900,43.3114056900,-23.1617658546,-1516.00,Maine ADCIRC model
-70.5550925500,43.3114065700,-23.1483688262,-1515.00,Maine ADCIRC model
-70.5550961000,43.3114074500,-23.1350043786,-1514.00,Maine ADCIRC model
-70.5550996600,43.3114083300,-23.1216073502,-1513.00,Maine ADCIRC model
-70.5551032200,43.3114092100,-23.1082103218,-1512.00,Maine ADCIRC model
-70.5551067800,43.3114100900,-23.0948132934,-1511.00,Maine ADCIRC model
-70.5551103400,43.3114109800,-23.0813958304,-1510.00,Maine ADCIRC model
-70.5551139000,43.3114118600,-23.0679988020,-1509.00,Maine ADCIRC model
-70.5551174600,43.3114127400,-23.0546017735,-1508.00,Maine ADCIRC model
-70.5551210100,43.3114136200,-23.0412373260,-1507.00,Maine ADCIRC model
-70.5551245700,43.3114145000,-23.0278402976,-1506.00,Maine ADCIRC model
-70.5551281300,43.3114153800,-23.0144432692,-1505.00,Maine ADCIRC model
-70.5551316900,43.3114162600,-23.0010462408,-1504.00,Maine ADCIRC model
-70.5551352500,43.3114171500,-22.9876287778,-1503.00,Maine ADCIRC model
-70.5551388100,43.3114180300,-22.9742317494,-1502.00,Maine ADCIRC model
-70.5551423700,43.3114189100,-22.9608347210,-1501.00,Maine ADCIRC model
-70.5551459200,43.3114197900,-22.9474702734,-1500.00,Maine ADCIRC model
-70.5551494800,43.3114206700,-22.9340732450,-1499.00,Maine ADCIRC model
-70.5551530400,43.3114215500,-22.9206762166,-1498.00,Maine ADCIRC model
-70.5551566000,43.3114224300,-22.9072791882,-1497.00,Maine ADCIRC model
-70.5551601600,43.3114233200,-22.8938617252,-1496.00,Maine ADCIRC model
-70.5551637200,43.3114242000,-22.8804646968,-1495.00,Maine ADCIRC model
-70.5551672800,43.3114250800,-22.8670676683,-1494.00,Maine ADCIRC model
-70.5551708400,43.3114259600,-22.8536706399,-1493.00,Maine ADCIRC model
-70.5551743900,43.3114268400,-22.8403061924,-1492.00,Maine ADCIRC model
-70.5551779500,43.3114277200,-22.8269091640,-1491.00,Maine ADCIRC model
-70.5551815100,43.3114286100,-22.8134917010,-1490.00,Maine ADCIRC model
-70.5551850700,43.3114294900,-22.8000946726,-1489.00,Maine ADCIRC model
-70.5551886300,43.3114303700,-22.7866976442,-1488.00,Maine ADCIRC model
-70.5551921900,43.3114312500,-22.7733006157,-1487.00,Maine ADCIRC model
-70.5551957500,43.3114321300,-22.7599035873,-1486.00,Maine ADCIRC model
-70.5551993000,43.3114330100,-22.7465391398,-1485.00,Maine ADCIRC model
-70.5552028600,43.3114338900,-22.7331421114,-1484.00,Maine ADCIRC model
-70.5552064200,43.3114347800,-22.7197246484,-1483.00,Maine ADCIRC model
-70.5552099800,43.3114356600,-22.7063276200,-1482.00,Maine ADCIRC model
-70.5552135400,43.3114365400,-22.6929305916,-1481.00,Maine ADCIRC model
-70.5552171000,43.3114374200,-22.6795335632,-1480.00,Maine ADCIRC model
-70.5552206600,43.3114383000,-22.6661365347,-1479.00,Maine ADCIRC model
-70.5552242100,43.3114391800,-22.6541061377,-1478.00,Maine ADCIRC model
-70.5552277700,43.3114400600,-22.6425549077,-1477.00,Maine ADCIRC model
-70.5552313300,43.3114409500,-22.6309863434,-1476.00,Maine ADCIRC model
-70.5552348900,43.3114418300,-22.6194351134,-1475.00,Maine ADCIRC model
-70.5552384500,43.3114427100,-22.6078838834,-1474.00,Maine ADCIRC model
-70.5552420100,43.3114435900,-22.5963326534,-1473.00,Maine ADCIRC model
-70.5552455700,43.3114444700,-22.5847814234,-1472.00,Maine ADCIRC model
-70.5552491300,43.3114453500,-22.5732301934,-1471.00,Maine ADCIRC model
-70.5552526800,43.3114462300,-22.5617071257,-1470.00,Maine ADCIRC model
-70.5552562400,43.3114471200,-22.5501385614,-1469.00,Maine ADCIRC model
-70.5552598000,43.3114480000,-22.5385873314,-1468.00,Maine ADCIRC model
-70.5552633600,43.3114488800,-22.5270361014,-1467.00,Maine ADCIRC model
-70.5552669200,43.3114497600,-22.5154848714,-1466.00,Maine ADCIRC model
-70.5552704800,43.3114506400,-22.5039336413,-1465.00,Maine ADCIRC model
-70.5552740400,43.3114515200,-22.4923824113,-1464.00,Maine ADCIRC model
-70.5552775900,43.3114524100,-22.4808420094,-1463.00,Maine ADCIRC model
-70.5552811500,43.3114532900,-22.4692907794,-1462.00,Maine ADCIRC model
-70.5552847100,43.3114541700,-22.4577395494,-1461.00,Maine ADCIRC model
-70.5552882700,43.3114550500,-22.4461883193,-1460.00,Maine ADCIRC model
-70.5552918300,43.3114559300,-22.4346370893,-1459.00,Maine ADCIRC model
-70.5552953900,43.3114568100,-22.4230858593,-1458.00,Maine ADCIRC model
-70.5552989500,43.3114576900,-22.4115346293,-1457.00,Maine ADCIRC model
-70.5553025100,43.3114585800,-22.3999660650,-1456.00,Maine ADCIRC model
-70.5553060600,43.3114594600,-22.3884429973,-1455.00,Maine ADCIRC model
-70.5553096200,43.3114603400,-22.3768917673,-1454.00,Maine ADCIRC model
-70.5553131800,43.3114612200,-22.3653405373,-1453.00,Maine ADCIRC model
-70.5553167400,43.3114621000,-22.3537893073,-1452.00,Maine ADCIRC model
