X,Y,Z,STA
 -70.5450005050,  43.3208149220,-29.7176,-1914.10
 -70.5450062140,  43.3208184920,-29.6863,-1912.10
 -70.5450119150,  43.3208220710,-29.6550,-1910.10
 -70.5450176250,  43.3208256410,-29.6236,-1908.10
 -70.5450233350,  43.3208292110,-29.5923,-1906.10
 -70.5450290440,  43.3208327810,-29.5610,-1904.10
 -70.5450347540,  43.3208363510,-29.5296,-1902.10
 -70.5450404550,  43.3208399220,-29.4983,-1900.10
 -70.5450461650,  43.3208434920,-29.4670,-1898.10
 -70.5450518750,  43.3208470620,-29.4356,-1896.10
 -70.5450575840,  43.3208506320,-29.4043,-1894.10
 -70.5450632940,  43.3208542110,-29.3729,-1892.10
 -70.5450689950,  43.3208577810,-29.3416,-1890.10
 -70.5450747050,  43.3208613510,-29.3103,-1888.10
 -70.5450804150,  43.3208649210,-29.2789,-1886.10
 -70.5450861240,  43.3208684910,-29.2476,-1884.10
 -70.5450918340,  43.3208720620,-29.2163,-1882.10
 -70.5450975350,  43.3208756320,-29.1849,-1880.10
 -70.5451032450,  43.3208792020,-29.1536,-1878.10
 -70.5451089540,  43.3208827720,-29.1222,-1876.10
 -70.5451146640,  43.3208863420,-29.0909,-1874.10
 -70.5451203650,  43.3208899210,-29.0596,-1872.10
 -70.5451260750,  43.3208934910,-29.0282,-1870.10
 -70.5451317850,  43.3208970610,-28.9969,-1868.10
 -70.5451374940,  43.3209006310,-28.9656,-1866.10
 -70.5451432040,  43.3209042010,-28.9342,-1864.10
 -70.5451489050,  43.3209077720,-28.9029,-1862.10
 -70.5451546150,  43.3209113420,-28.8715,-1860.10
 -70.5451603250,  43.3209149120,-28.8402,-1858.10
 -70.5451660340,  43.3209184820,-28.8089,-1856.10
 -70.5451717440,  43.3209220610,-28.7775,-1854.10
 -70.5451774450,  43.3209256310,-28.7462,-1852.10
 -70.5451831550,  43.3209292010,-28.7149,-1850.10
 -70.5451888650,  43.3209327710,-28.6835,-1848.10
 -70.5451945740,  43.3209363410,-28.6522,-1846.10
 -70.5452002750,  43.3209399110,-28.6208,-1844.10
 -70.5452059850,  43.3209434820,-28.5895,-1842.10
 -70.5452116950,  43.3209470520,-28.5582,-1840.10
 -70.5452174040,  43.3209506220,-28.5268,-1838.10
 -70.5452231140,  43.3209541920,-28.4955,-1836.10
 -70.5452288150,  43.3209577710,-28.4642,-1834.10
 -70.5452345250,  43.3209613410,-28.4328,-1832.10
 -70.5452402350,  43.3209649110,-28.4015,-1830.10
 -70.5452459440,  43.3209684810,-28.3701,-1828.10
 -70.5452516540,  43.3209720510,-28.3388,-1826.10
 -70.5452573550,  43.3209756220,-28.3075,-1824.10
 -70.5452630650,  43.3209791920,-28.2761,-1822.10
 -70.5452687750,  43.3209827620,-28.2435,-1820.10
 -70.5452744840,  43.3209863320,-28.2093,-1818.10
 -70.5452801940,  43.3209899110,-28.1751,-1816.10
 -70.5452858950,  43.3209934810,-28.1409,-1814.10
 -70.5452916050,  43.3209970510,-28.1067,-1812.10
 -70.5452973150,  43.3210006210,-28.0725,-1810.10
 -70.5453030240,  43.3210041910,-28.0383,-1808.10
 -70.5453087250,  43.3210077610,-28.0041,-1806.10
 -70.5453144350,  43.3210113320,-27.9699,-1804.10
 -70.5453201450,  43.3210149020,-27.9357,-1802.10
 -70.5453258540,  43.3210184720,-27.9015,-1800.10
 -70.5453315640,  43.3210220420,-27.8673,-1798.10
 -70.5453372650,  43.3210256210,-27.8331,-1796.10
 -70.5453429750,  43.3210291910,-27.7989,-1794.10
 -70.5453486850,  43.3210327610,-27.7647,-1792.10
 -70.5453543940,  43.3210363310,-27.7304,-1790.10
 -70.5453601040,  43.3210399010,-27.6962,-1788.10
 -70.5453658050,  43.3210434720,-27.6620,-1786.10
 -70.5453715150,  43.3210470420,-27.6278,-1784.10
 -70.5453772250,  43.3210506120,-27.5936,-1782.10
 -70.5453829340,  43.3210541820,-27.5594,-1780.10
 -70.5453886440,  43.3210577520,-27.5252,-1778.10
 -70.5453943450,  43.3210613310,-27.4910,-1776.10
 -70.5454000550,  43.3210649010,-27.4568,-1774.10
 -70.5454057650,  43.3210684710,-27.4226,-1772.10
 -70.5454114740,  43.3210720410,-27.3884,-1770.10
 -70.5454171840,  43.3210756110,-27.3542,-1768.10
 -70.5454228850,  43.3210791820,-27.3200,-1766.10
 -70.5454285950,  43.3210827520,-27.2858,-1764.10
 -70.5454343040,  43.3210863220,-27.2516,-1762.10
 -70.5454400140,  43.3210898920,-27.2174,-1760.10
 -70.5454457150,  43.3210934710,-27.1832,-1758.10
 -70.5454514250,  43.3210970410,-27.1490,-1756.10
 -70.5454571350,  43.3211006110,-27.1148,-1754.10
 -70.5454628440,  43.3211041810,-27.0806,-1752.10
 -70.5454685540,  43.3211077510,-27.0464,-1750.10
 -70.5454742550,  43.3211113210,-27.0122,-1748.10
 -70.5454799650,  43.3211148920,-26.9780,-1746.10
 -70.5454856750,  43.3211184620,-26.9438,-1744.10
 -70.5454913840,  43.3211220320,-26.9096,-1742.10
 -70.5454970940,  43.3211256020,-26.8754,-1740.10
 -70.5455027950,  43.3211291810,-26.8412,-1738.10
 -70.5455085050,  43.3211327510,-26.8070,-1736.10
 -70.5455142150,  43.3211363210,-26.7728,-1734.10
 -70.5455199240,  43.3211398910,-26.7386,-1732.10
 -70.5455256340,  43.3211434610,-26.7044,-1730.10
 -70.5455313350,  43.3211470320,-26.6701,-1728.10
 -70.5455370450,  43.3211506020,-26.6359,-1726.10
 -70.5455427550,  43.3211541720,-26.6017,-1724.10
 -70.5455484640,  43.3211577420,-26.5675,-1722.10
 -70.5455541740,  43.3211613120,-26.5333,-1720.10
 -70.5455598750,  43.3211648910,-26.4991,-1718.10
 -70.5455655850,  43.3211684610,-26.4649,-1716.10
 -70.5455712940,  43.3211720310,-26.4307,-1714.10
 -70.5455770040,  43.3211756010,-26.3965,-1712.10
 -70.5455827050,  43.3211791710,-26.3623,-1710.10
 -70.5455884150,  43.3211827420,-26.3281,-1708.10
 -70.5455941250,  43.3211863120,-26.2941,-1706.10
 -70.5455998340,  43.3211898820,-26.2609,-1704.10
 -70.5456055440,  43.3211934520,-26.2276,-1702.10
 -70.5456112450,  43.3211970220,-26.1944,-1700.10
 -70.5456169550,  43.3212006010,-26.1612,-1698.10
 -70.5456226650,  43.3212041710,-26.1280,-1696.10
 -70.5456283740,  43.3212077410,-26.0948,-1694.10
 -70.5456340840,  43.3212113110,-26.0615,-1692.10
 -70.5456397850,  43.3212148810,-26.0283,-1690.10
 -70.5456454950,  43.3212184520,-25.9951,-1688.10
 -70.5456512050,  43.3212220220,-25.9619,-1686.10
 -70.5456569140,  43.3212255920,-25.9287,-1684.10
 -70.5456626240,  43.3212291620,-25.8954,-1682.10
 -70.5456683250,  43.3212327410,-25.8622,-1680.10
 -70.5456740350,  43.3212363110,-25.8290,-1678.10
 -70.5456797450,  43.3212398810,-25.7958,-1676.10
 -70.5456854540,  43.3212434510,-25.7626,-1674.10
 -70.5456911640,  43.3212470210,-25.7294,-1672.10
 -70.5456968650,  43.3212505910,-25.6961,-1670.10
 -70.5457025750,  43.3212541620,-25.6629,-1668.10
 -70.5457082850,  43.3212577320,-25.6297,-1666.10
 -70.5457139940,  43.3212613020,-25.5965,-1664.10
 -70.5457197040,  43.3212648720,-25.5633,-1662.10
 -70.5457254050,  43.3212684510,-25.5300,-1660.10
 -70.5457311150,  43.3212720210,-25.4968,-1658.10
 -70.5457368250,  43.3212755910,-25.4636,-1656.10
 -70.5457425340,  43.3212791610,-25.4304,-1654.10
 -70.5457482440,  43.3212827310,-25.3972,-1652.10
 -70.5457539450,  43.3212863010,-25.3639,-1650.10
 -70.5457596550,  43.3212898720,-25.3307,-1648.10
 -70.5457653640,  43.3212934420,-25.2975,-1646.10
 -70.5457710740,  43.3212970120,-25.2643,-1644.10
 -70.5457767750,  43.3213005820,-25.2311,-1642.10
 -70.5457824850,  43.3213041610,-25.1979,-1640.10
 -70.5457881950,  43.3213077310,-25.1646,-1638.10
 -70.5457939040,  43.3213113010,-25.1314,-1636.10
 -70.5457996140,  43.3213148710,-25.0982,-1634.10
 -70.5458053150,  43.3213184410,-25.0650,-1632.10
 -70.5458110250,  43.3213220110,-25.0318,-1630.10
 -70.5458167350,  43.3213255820,-24.9985,-1628.10
 -70.5458224440,  43.3213291520,-24.9653,-1626.10
 -70.5458281540,  43.3213327220,-24.9321,-1624.10
 -70.5458338550,  43.3213362920,-24.8989,-1622.10
 -70.5458395650,  43.3213398710,-24.8657,-1620.10
 -70.5458452750,  43.3213434410,-24.8325,-1618.10
 -70.5458509840,  43.3213470110,-24.7992,-1616.10
 -70.5458566940,  43.3213505810,-24.7660,-1614.10
 -70.5458623950,  43.3213541510,-24.7328,-1612.10
 -70.5458681050,  43.3213577220,-24.6996,-1610.10
 -70.5458738150,  43.3213612920,-24.6652,-1608.10
 -70.5458795240,  43.3213648620,-24.6259,-1606.10
 -70.5458852340,  43.3213684320,-24.5866,-1604.10
 -70.5458909350,  43.3213720020,-24.5472,-1602.10
 -70.5458966450,  43.3213755810,-24.5079,-1600.10
 -70.5459023550,  43.3213791510,-24.4686,-1598.10
 -70.5459080640,  43.3213827210,-24.4292,-1596.10
 -70.5459137740,  43.3213862910,-24.3899,-1594.10
 -70.5459194750,  43.3213898610,-24.3506,-1592.10
 -70.5459251850,  43.3213934320,-24.3113,-1590.10
 -70.5459308950,  43.3213970020,-24.2719,-1588.10
 -70.5459366040,  43.3214005720,-24.2326,-1586.10
 -70.5459423140,  43.3214041420,-24.1933,-1584.10
 -70.5459480150,  43.3214077120,-24.1539,-1582.10
 -70.5459537250,  43.3214112910,-24.1146,-1580.10
 -70.5459594350,  43.3214148610,-24.0753,-1578.10
 -70.5459651440,  43.3214184310,-24.0360,-1576.10
 -70.5459708540,  43.3214220010,-23.9966,-1574.10
 -70.5459765550,  43.3214255710,-23.9573,-1572.10
 -70.5459822650,  43.3214291420,-23.9180,-1570.10
 -70.5459879750,  43.3214327120,-23.8787,-1568.10
 -70.5459936840,  43.3214362820,-23.8393,-1566.10
 -70.5459993940,  43.3214398520,-23.8000,-1564.10
 -70.5460050950,  43.3214434220,-23.7607,-1562.10
 -70.5460108050,  43.3214470010,-23.7213,-1560.10
 -70.5460165150,  43.3214505710,-23.6820,-1558.10
 -70.5460222240,  43.3214541410,-23.6427,-1556.10
 -70.5460279340,  43.3214577110,-23.6034,-1554.10
 -70.5460336350,  43.3214612810,-23.5640,-1552.10
 -70.5460393450,  43.3214648520,-23.5247,-1550.10
 -70.5460450550,  43.3214684220,-23.4854,-1548.10
 -70.5460507640,  43.3214719920,-23.4460,-1546.10
 -70.5460564740,  43.3214755620,-23.4067,-1544.10
 -70.5460621750,  43.3214791320,-23.3674,-1542.10
 -70.5460678850,  43.3214827110,-23.3281,-1540.10
 -70.5460735950,  43.3214862810,-23.2887,-1538.10
 -70.5460793040,  43.3214898510,-23.2494,-1536.10
 -70.5460850140,  43.3214934210,-23.2101,-1534.10
